LEI,bank_name,vasicek_class,vintage_date,ead_eur_m,maturity_years,rwa_eur_m,density_pct,source
7LTWFZYICNSX8D621K86,Deutsche Bank,sovereign,2021-12-31,132063,1.30,16361,12.39,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2021) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,bank,2021-12-31,19804,1.70,4381,22.12,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2021) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,corporate,2021-12-31,276845,2.30,100227,36.20,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2021) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,sme_corporate,2021-12-31,19141,2.90,7433,38.83,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2021) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,mortgage,2021-12-31,176167,23.80,38979,22.13,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2021) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,qrre,2021-12-31,10846,0.00,1078,9.94,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2021) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,other_retail,2021-12-31,33384,7.40,17078,51.16,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2021) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,sovereign,2022-12-31,131285,1.50,15887,12.10,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2022) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,bank,2022-12-31,20682,2.00,3740,18.08,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2022) col d=EAD, h=maturity, i=RWA"
7LTWFZYICNSX8D621K86,Deutsche Bank,corporate,2022-12-31,235327,2.30,97244,41.32,"Deutsche Bank Pillar 3 EU CR6 AIRB (Dec 31, 2022) col d=EAD, h=maturity, i=RWA"
