LEI,bank_name,vasicek_class,vintage_date,pd_pct,lgd_pct,ead_eur_m,rwa_eur_m,density,source,page
DG3RU1DBUFHT4ZF9WN62,Rabobank,sovereign,2021-12-31,0.04,31.83,135153,1013,0.750,Rabobank Pillar 3 Year Report 2021 EU CR6 AIRB (raw subtotal),62
DG3RU1DBUFHT4ZF9WN62,Rabobank,bank,2021-12-31,0.75,23.77,6206,1390,22.400,Rabobank Pillar 3 Year Report 2021 EU CR6 AIRB (raw subtotal),62
DG3RU1DBUFHT4ZF9WN62,Rabobank,corporate,2021-12-31,3.93,26.52,120476,54973,45.630,Rabobank Pillar 3 Year Report 2021 EU CR6 AIRB (raw subtotal),64
DG3RU1DBUFHT4ZF9WN62,Rabobank,sme_corporate,2021-12-31,5.59,13.16,77951,21256,27.270,Rabobank Pillar 3 Year Report 2021 EU CR6 AIRB (raw subtotal),63
DG3RU1DBUFHT4ZF9WN62,Rabobank,mortgage,2021-12-31,0.87,8.99,194539,16523,8.490,Rabobank Pillar 3 Year Report 2021 EU CR6 AIRB (raw subtotal),65
DG3RU1DBUFHT4ZF9WN62,Rabobank,other_retail,2021-12-31,3.04,36.82,4425,1491,33.710,Rabobank Pillar 3 Year Report 2021 EU CR6 AIRB (raw subtotal),66
DG3RU1DBUFHT4ZF9WN62,Rabobank,sovereign,2022-12-31,0.14,34.58,142348,1415,0.990,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),63
DG3RU1DBUFHT4ZF9WN62,Rabobank,bank,2022-12-31,0.14,21.53,5783,1815,31.380,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),64
DG3RU1DBUFHT4ZF9WN62,Rabobank,corporate,2022-12-31,3.27,26.97,132975,74676,56.160,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),65
DG3RU1DBUFHT4ZF9WN62,Rabobank,sme_corporate,2022-12-31,4.40,13.61,80223,28525,35.560,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),64
DG3RU1DBUFHT4ZF9WN62,Rabobank,mortgage,2022-12-31,1.02,9.11,195788,16884,8.620,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),67
DG3RU1DBUFHT4ZF9WN62,Rabobank,other_retail,2022-12-31,3.36,33.59,3421,921,26.920,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),68
DG3RU1DBUFHT4ZF9WN62,Rabobank,sovereign,2023-12-31,0.12,22.53,1024,177,17.260,Rabobank Pillar 3 Year Report 2023 EU CR6 AIRB (raw subtotal),67
DG3RU1DBUFHT4ZF9WN62,Rabobank,bank,2023-12-31,0.45,24.63,465,205,44.170,Rabobank Pillar 3 Year Report 2023 EU CR6 AIRB (raw subtotal),68
DG3RU1DBUFHT4ZF9WN62,Rabobank,corporate,2023-12-31,3.87,28.73,137995,77879,56.440,Rabobank Pillar 3 Year Report 2023 EU CR6 AIRB (raw subtotal),70
DG3RU1DBUFHT4ZF9WN62,Rabobank,sme_corporate,2023-12-31,4.69,13.29,76153,28352,37.230,Rabobank Pillar 3 Year Report 2023 EU CR6 AIRB (raw subtotal),69
DG3RU1DBUFHT4ZF9WN62,Rabobank,mortgage,2023-12-31,1.17,9.10,196634,19181,9.750,Rabobank Pillar 3 Year Report 2023 EU CR6 AIRB (raw subtotal),71
DG3RU1DBUFHT4ZF9WN62,Rabobank,other_retail,2023-12-31,4.84,23.63,1339,508,37.900,Rabobank Pillar 3 Year Report 2023 EU CR6 AIRB (raw subtotal),73
DG3RU1DBUFHT4ZF9WN62,Rabobank,sovereign,2024-12-31,1.07,31.73,725,364,50.250,Rabobank Pillar 3 Year Report 2024 EU CR6 AIRB (raw subtotal),75
DG3RU1DBUFHT4ZF9WN62,Rabobank,corporate,2024-12-31,9.98,22.20,38965,25370,65.110,Rabobank Pillar 3 Year Report 2024 EU CR6 AIRB (raw subtotal),78
DG3RU1DBUFHT4ZF9WN62,Rabobank,sme_corporate,2024-12-31,5.05,12.82,77266,28123,36.400,Rabobank Pillar 3 Year Report 2024 EU CR6 AIRB (raw subtotal),76
DG3RU1DBUFHT4ZF9WN62,Rabobank,mortgage,2024-12-31,1.09,9.10,198765,17967,9.040,Rabobank Pillar 3 Year Report 2024 EU CR6 AIRB (raw subtotal),80
