LEI,bank_name,vasicek_class,vintage_date,pd_pct,lgd_pct,ead_eur_m,rwa_eur_m,density,source,page
R0MUWSFPU8MPRO8K5P83,BNP Paribas,bank,2022-12-31,0.76,28.00,38441,8280,22.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2023.pdf),409
R0MUWSFPU8MPRO8K5P83,BNP Paribas,bank,2023-12-31,0.79,25.00,37244,7963,21.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),441
R0MUWSFPU8MPRO8K5P83,BNP Paribas,bank,2024-12-31,0.79,26.00,45122,11043,24.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),440
R0MUWSFPU8MPRO8K5P83,BNP Paribas,corporate,2022-12-31,2.52,33.00,378795,192280,51.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2023.pdf),413
R0MUWSFPU8MPRO8K5P83,BNP Paribas,corporate,2023-12-31,2.73,32.00,374086,173540,46.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),445
R0MUWSFPU8MPRO8K5P83,BNP Paribas,corporate,2024-12-31,2.87,37.00,375110,188357,50.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),443
R0MUWSFPU8MPRO8K5P83,BNP Paribas,mortgage,2022-12-31,2.00,12.00,189058,23560,12.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2023.pdf),417
R0MUWSFPU8MPRO8K5P83,BNP Paribas,mortgage,2023-12-31,1.76,12.00,185085,23174,13.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),449
R0MUWSFPU8MPRO8K5P83,BNP Paribas,mortgage,2024-12-31,1.61,17.00,185517,27360,15.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),448
R0MUWSFPU8MPRO8K5P83,BNP Paribas,other_retail,2022-12-31,6.38,40.00,41380,17178,42.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2023.pdf),421
R0MUWSFPU8MPRO8K5P83,BNP Paribas,other_retail,2023-12-31,6.67,40.00,41644,17100,41.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),453
R0MUWSFPU8MPRO8K5P83,BNP Paribas,other_retail,2024-12-31,6.70,36.00,41975,15654,37.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),451
R0MUWSFPU8MPRO8K5P83,BNP Paribas,qrre,2022-12-31,8.86,51.00,10095,3304,33.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2023.pdf),420
R0MUWSFPU8MPRO8K5P83,BNP Paribas,qrre,2023-12-31,8.33,52.00,10051,3366,33.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),452
R0MUWSFPU8MPRO8K5P83,BNP Paribas,qrre,2024-12-31,8.91,36.00,9881,2800,28.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),450
R0MUWSFPU8MPRO8K5P83,BNP Paribas,sme,2022-12-31,4.60,14.00,71400,24001,34.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2023.pdf),412
R0MUWSFPU8MPRO8K5P83,BNP Paribas,sme,2023-12-31,4.61,13.00,69038,22918,33.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),444
R0MUWSFPU8MPRO8K5P83,BNP Paribas,sme,2024-12-31,3.78,25.00,71680,29818,42.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),442
R0MUWSFPU8MPRO8K5P83,BNP Paribas,sovereign,2022-12-31,0.08,2.00,452804,4620,1.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2023.pdf),409
R0MUWSFPU8MPRO8K5P83,BNP Paribas,sovereign,2023-12-31,0.09,2.00,431674,4360,1.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),441
R0MUWSFPU8MPRO8K5P83,BNP Paribas,sovereign,2024-12-31,0.08,3.00,364093,3877,1.000,BNP Paribas URD EU CR6 IRBA-by-PD-scale (bnp_2024.pdf),440
