short,LEI,vasicek_class,pd_pct,lgd_pct,vintage_date,ead_eur_m,note
cm,9695000CG7B84NLR5984,corporate,2.42,45.00,2023-12-31,70064,
cm,9695000CG7B84NLR5984,sme_corporate,4.72,25.00,2023-12-31,87004,
cm,9695000CG7B84NLR5984,mortgage,1.63,15.00,2023-12-31,289619,
cm,9695000CG7B84NLR5984,qrre,3.04,33.00,2023-12-31,10535,
cm,9695000CG7B84NLR5984,other_retail,2.38,19.00,2023-12-31,395260,
cm,9695000CG7B84NLR5984,bank,3.04,33.00,2023-12-31,10535,
cm,9695000CG7B84NLR5984,sovereign,3.04,33.00,2023-12-31,10535,
cm,9695000CG7B84NLR5984,corporate,2.59,45.00,2024-12-31,73026,
cm,9695000CG7B84NLR5984,sme_corporate,5.69,25.00,2024-12-31,88431,
cm,9695000CG7B84NLR5984,mortgage,1.79,16.00,2024-12-31,291029,
cm,9695000CG7B84NLR5984,other_retail,2.59,19.00,2024-12-31,396769,
cm,9695000CG7B84NLR5984,bank,0.12,34.00,2024-12-31,30410,
cm,9695000CG7B84NLR5984,sovereign,0.12,34.00,2024-12-31,30410,
