bank_name,LEI,bank_country,vasicek_class,pd_pct,lgd_pct,vintage_date,status,source,source_period,source_table,source_page,source_url,flag
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,sovereign,0.15,52.18,2021-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2021",2021-12-31,"EU CR6 - AIRB approach (Dec 31, 2021 block) - ount Expected and | Central governments | and central banks¹ Sub-total [col e=PD, g=LGD]",118,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar_3_Report_as_of_December_31_2021.pdf,
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,bank,9.32,40.94,2021-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2021",2021-12-31,"EU CR6 - AIRB approach (Dec 31, 2021 block) - Institutions Sub-total [col e=PD, g=LGD]",118,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar_3_Report_as_of_December_31_2021.pdf,DEFAULT-BAND
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,corporate,6.41,29.50,2021-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2021",2021-12-31,"EU CR6 - AIRB approach (Dec 31, 2021 block) - obligors average LGD maturity supporting amount Expected and Sub-total [col e=PD, g=LGD]",119,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar_3_Report_as_of_December_31_2021.pdf,
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,sme_corporate,10.11,35.88,2021-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2021",2021-12-31,"EU CR6 - AIRB approach (Dec 31, 2021 block) - of which: | SMEs Sub-total [col e=PD, g=LGD]",119,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar_3_Report_as_of_December_31_2021.pdf,
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,mortgage,1.66,18.40,2021-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2021",2021-12-31,"EU CR6 - AIRB approach (Dec 31, 2021 block) - nt Expected and | Secured by real estate | property non-SMEs Sub-total [col e=PD, g=LGD]",122,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar_3_Report_as_of_December_31_2021.pdf,
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,qrre,3.02,55.32,2021-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2021",2021-12-31,"EU CR6 - AIRB approach (Dec 31, 2021 block) - Qualifying Revolving Sub-total [col e=PD, g=LGD]",122,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar_3_Report_as_of_December_31_2021.pdf,
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,other_retail,8.27,47.25,2021-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2021",2021-12-31,"EU CR6 - AIRB approach (Dec 31, 2021 block) - Other retail non-SMEs Sub-total [col e=PD, g=LGD]",123,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar_3_Report_as_of_December_31_2021.pdf,
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,sovereign,0.37,51.87,2022-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2022",2022-12-31,"EU CR6 - AIRB approach (Dec 31, 2022 block) - mount Expected and | Central governments | and central banks Sub-total [col e=PD, g=LGD]",112,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2022.pdf,
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,bank,12.40,43.74,2022-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2022",2022-12-31,"EU CR6 - AIRB approach (Dec 31, 2022 block) - Institutions Sub-total [col e=PD, g=LGD]",112,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2022.pdf,DEFAULT-BAND
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,corporate,5.25,31.66,2022-12-31,pillar3_verified,"Deutsche Bank Pillar 3 Report as of December 31, 2022",2022-12-31,"EU CR6 - AIRB approach (Dec 31, 2022 block) - Other Sub-total [col e=PD, g=LGD]",114,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2022.pdf,
