LEI,bank_name,vasicek_class,vintage_date,pd_pct,lgd_pct,ead_eur_m,rwa_eur_m,density,source,page
DG3RU1DBUFHT4ZF9WN62,Rabobank,sovereign,2022-12-31,0.14,34.58,142348,1415,0.990,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),63
DG3RU1DBUFHT4ZF9WN62,Rabobank,bank,2022-12-31,0.14,21.53,5783,1815,31.380,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),64
DG3RU1DBUFHT4ZF9WN62,Rabobank,corporate,2022-12-31,3.27,26.97,132975,74676,56.160,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),65
DG3RU1DBUFHT4ZF9WN62,Rabobank,sme_corporate,2022-12-31,4.40,13.61,80223,28525,35.560,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),64
DG3RU1DBUFHT4ZF9WN62,Rabobank,mortgage,2022-12-31,1.02,9.11,195788,16884,8.620,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),67
DG3RU1DBUFHT4ZF9WN62,Rabobank,other_retail,2022-12-31,3.36,33.59,3421,921,26.920,Rabobank Pillar 3 Year Report 2022 EU CR6 AIRB (raw subtotal),68
DG3RU1DBUFHT4ZF9WN62,Rabobank,sovereign,2024-12-31,1.07,31.73,725,364,50.250,Rabobank Pillar 3 Year Report 2024 EU CR6 AIRB (raw subtotal),75
DG3RU1DBUFHT4ZF9WN62,Rabobank,corporate,2024-12-31,9.98,22.20,38965,25370,65.110,Rabobank Pillar 3 Year Report 2024 EU CR6 AIRB (raw subtotal),78
DG3RU1DBUFHT4ZF9WN62,Rabobank,sme_corporate,2024-12-31,5.05,12.82,77266,28123,36.400,Rabobank Pillar 3 Year Report 2024 EU CR6 AIRB (raw subtotal),76
DG3RU1DBUFHT4ZF9WN62,Rabobank,mortgage,2024-12-31,1.09,9.10,198765,17967,9.040,Rabobank Pillar 3 Year Report 2024 EU CR6 AIRB (raw subtotal),80
