short,LEI,vasicek_class,pd_pct,lgd_pct,vintage_date,ead_eur_m,note
unicredit,549300TRUWO2CD2G5692,corporate,3.11,37.18,2021-12-31,176368,
unicredit,549300TRUWO2CD2G5692,sme_corporate,9.53,26.04,2021-12-31,43870,
unicredit,549300TRUWO2CD2G5692,qrre,5.27,74.06,2021-12-31,5464,DENS?
unicredit,549300TRUWO2CD2G5692,bank,0.29,32.02,2021-12-31,25460,
unicredit,549300TRUWO2CD2G5692,corporate,2.73,35.60,2022-12-31,173722,
unicredit,549300TRUWO2CD2G5692,sme_corporate,6.67,22.97,2022-12-31,47669,
unicredit,549300TRUWO2CD2G5692,mortgage,0.16,20.80,2022-12-31,23651,
unicredit,549300TRUWO2CD2G5692,qrre,5.39,71.16,2022-12-31,4879,DENS?
unicredit,549300TRUWO2CD2G5692,other_retail,4.88,40.24,2022-12-31,25503,DENS?
unicredit,549300TRUWO2CD2G5692,bank,0.18,22.06,2022-12-31,25824,
unicredit,549300TRUWO2CD2G5692,corporate,2.76,31.96,2023-12-31,164240,
unicredit,549300TRUWO2CD2G5692,sme_corporate,6.46,22.71,2023-12-31,45132,
unicredit,549300TRUWO2CD2G5692,mortgage,0.23,21.76,2023-12-31,23375,
unicredit,549300TRUWO2CD2G5692,qrre,5.43,69.69,2023-12-31,4802,DENS?
unicredit,549300TRUWO2CD2G5692,other_retail,5.35,40.37,2023-12-31,26136,DENS?
unicredit,549300TRUWO2CD2G5692,bank,0.21,22.43,2023-12-31,25296,
unicredit,549300TRUWO2CD2G5692,corporate,3.25,31.89,2024-12-31,155329,
unicredit,549300TRUWO2CD2G5692,sme_corporate,6.82,23.14,2024-12-31,44308,
unicredit,549300TRUWO2CD2G5692,mortgage,0.22,20.75,2024-12-31,22619,
unicredit,549300TRUWO2CD2G5692,qrre,3.67,70.86,2024-12-31,4720,DENS?
unicredit,549300TRUWO2CD2G5692,other_retail,4.90,39.02,2024-12-31,24768,DENS?
unicredit,549300TRUWO2CD2G5692,bank,0.11,25.90,2024-12-31,29026,
