bank_name,LEI,bank_country,vasicek_class,pd_pct,lgd_pct,source,source_period,source_table,source_page,note
Groupe Crédit Agricole,FR969500TJ5KRTCJQWXH,FR,corporate,1.42,34.17,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Exposure-weighted PD-adjusted and LGD per IRB asset class
Groupe Crédit Agricole,FR969500TJ5KRTCJQWXH,FR,sme_corporate,1.25,28.95,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Groupe Crédit Agricole,FR969500TJ5KRTCJQWXH,FR,mortgage,0.83,14.01,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Retail - Secured by residential real estate
Groupe Crédit Agricole,FR969500TJ5KRTCJQWXH,FR,qrre,2.16,53.12,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Retail - Qualifying Revolving
Groupe Crédit Agricole,FR969500TJ5KRTCJQWXH,FR,other_retail,1.82,31.84,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Retail - Other Retail
Groupe Crédit Agricole,FR969500TJ5KRTCJQWXH,FR,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class not in annex,n/a,F-IRB Standard - bank exposures typical low PD
Groupe Crédit Agricole,FR969500TJ5KRTCJQWXH,FR,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments class not in annex,n/a,F-IRB Standard - sovereign exposures very low PD
BNP Paribas,R0MUWSFPU8MPRO8K5P83,FR,corporate,1.42,34.17,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
BNP Paribas,R0MUWSFPU8MPRO8K5P83,FR,sme_corporate,1.25,28.95,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
BNP Paribas,R0MUWSFPU8MPRO8K5P83,FR,mortgage,0.83,14.01,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
BNP Paribas,R0MUWSFPU8MPRO8K5P83,FR,qrre,2.16,53.12,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
BNP Paribas,R0MUWSFPU8MPRO8K5P83,FR,other_retail,1.82,31.84,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
BNP Paribas,R0MUWSFPU8MPRO8K5P83,FR,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
BNP Paribas,R0MUWSFPU8MPRO8K5P83,FR,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
ING Groep N.V.,549300NYKK9MWM7GGW15,NL,corporate,1.10,29.35,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Netherlands aggregate
ING Groep N.V.,549300NYKK9MWM7GGW15,NL,sme_corporate,1.44,25.45,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Same NL aggregate
ING Groep N.V.,549300NYKK9MWM7GGW15,NL,mortgage,0.65,14.21,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Retail - Secured by residential real estate
ING Groep N.V.,549300NYKK9MWM7GGW15,NL,qrre,0.86,65.81,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Retail - Qualifying Revolving
ING Groep N.V.,549300NYKK9MWM7GGW15,NL,other_retail,2.45,26.56,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / Netherlands row,5,Retail - Other Retail
ING Groep N.V.,549300NYKK9MWM7GGW15,NL,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
ING Groep N.V.,549300NYKK9MWM7GGW15,NL,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
Société Générale,O2RNE8IBXP4R0TD8PU41,FR,corporate,1.42,34.17,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Société Générale,O2RNE8IBXP4R0TD8PU41,FR,sme_corporate,1.25,28.95,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Société Générale,O2RNE8IBXP4R0TD8PU41,FR,mortgage,0.83,14.01,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Société Générale,O2RNE8IBXP4R0TD8PU41,FR,qrre,2.16,53.12,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Société Générale,O2RNE8IBXP4R0TD8PU41,FR,other_retail,1.82,31.84,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Société Générale,O2RNE8IBXP4R0TD8PU41,FR,bank,0.20,45.00,Basel III F-IRB default,2025-Q4,Institutions class,n/a,Standard
Société Générale,O2RNE8IBXP4R0TD8PU41,FR,sovereign,0.05,45.00,Basel III F-IRB default,2025-Q4,Central governments,n/a,Standard
Groupe BPCE,FR9695005MSX1OYEMGDF,FR,corporate,1.42,34.17,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Groupe BPCE,FR9695005MSX1OYEMGDF,FR,sme_corporate,1.25,28.95,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Groupe BPCE,FR9695005MSX1OYEMGDF,FR,mortgage,0.83,14.01,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Groupe BPCE,FR9695005MSX1OYEMGDF,FR,qrre,2.16,53.12,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
Groupe BPCE,FR9695005MSX1OYEMGDF,FR,other_retail,1.82,31.84,EBA Risk Dashboard - Credit Risk Parameters Annex,2025-Q4,COREP C 9.02 / France row,2,Same France aggregate
