LEI,bank_name,vasicek_class,vintage_date,pd_pct,lgd_pct,ead_eur_m,source,note
7LTWFZYICNSX8D621K86,Deutsche Bank,bank,2021-12-31,9.32,40.94,19804,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,corporate,2021-12-31,6.41,29.50,276845,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,mortgage,2021-12-31,1.66,18.40,176167,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,other_retail,2021-12-31,8.27,47.25,33384,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,qrre,2021-12-31,3.02,55.32,10846,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,sme_corporate,2021-12-31,10.11,35.88,19141,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,sovereign,2021-12-31,0.15,52.18,132063,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,bank,2022-12-31,12.40,43.74,20682,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,corporate,2022-12-31,5.25,31.66,235327,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,mortgage,2022-12-31,1.48,19.56,174324,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,other_retail,2022-12-31,8.38,52.48,32564,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,qrre,2022-12-31,1.63,65.92,10422,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,sme_corporate,2022-12-31,12.64,36.93,21801,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,sovereign,2022-12-31,0.37,51.87,131285,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,bank,2023-12-31,0.88,45.30,17256,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,corporate,2023-12-31,3.36,31.04,230294,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,mortgage,2023-12-31,2.01,18.11,166616,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,other_retail,2023-12-31,9.59,56.56,29677,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,qrre,2023-12-31,2.58,60.09,7936,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,sme_corporate,2023-12-31,3.75,32.94,22881,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,sovereign,2023-12-31,0.24,66.29,128836,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,bank,2024-12-31,0.19,48.15,16495,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,corporate,2024-12-31,4.12,30.86,237810,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,mortgage,2024-12-31,2.63,20.03,166929,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,other_retail,2024-12-31,9.50,58.41,29688,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,qrre,2024-12-31,2.66,57.60,9248,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,sme_corporate,2024-12-31,6.77,33.03,25888,DB Pillar 3 EU CR6 AIRB (raw subtotal),
7LTWFZYICNSX8D621K86,Deutsche Bank,sovereign,2024-12-31,0.31,66.37,135860,DB Pillar 3 EU CR6 AIRB (raw subtotal),
549300NYKK9MWM7GGW15,ING Groep,bank,2021-12-31,0.91,21.20,46027,ING Additional Pillar III 2021 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,corporate,2021-12-31,1.79,17.61,316358,ING Additional Pillar III 2021 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,mortgage,2021-12-31,1.57,16.08,307236,ING Additional Pillar III 2021 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,other_retail,2021-12-31,6.66,50.91,4852,ING Additional Pillar III 2021 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,qrre,2021-12-31,4.31,16.66,13509,ING Additional Pillar III 2021 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,sme_corporate,2021-12-31,5.28,24.22,27900,ING Additional Pillar III 2021 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,bank,2024-12-31,0.39,19.79,47295,ING Additional Pillar III 2024 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,corporate,2024-12-31,1.81,14.43,327826,ING Additional Pillar III 2024 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,mortgage,2024-12-31,1.46,22.61,336546,ING Additional Pillar III 2024 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,other_retail,2024-12-31,6.39,39.90,4636,ING Additional Pillar III 2024 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,qrre,2024-12-31,3.75,22.50,14592,ING Additional Pillar III 2024 EU CR6 IRB (raw),
549300NYKK9MWM7GGW15,ING Groep,sme_corporate,2024-12-31,6.12,27.39,47644,ING Additional Pillar III 2024 EU CR6 IRB (raw),
O2RNE8IBXP4R0TD8PU41,Societe Generale,mortgage,2022-12-31,1.51,15.92,126745,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),DENSITY?
O2RNE8IBXP4R0TD8PU41,Societe Generale,other_retail,2022-12-31,6.43,29.29,33307,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),DENSITY?
O2RNE8IBXP4R0TD8PU41,Societe Generale,qrre,2022-12-31,6.79,49.48,5226,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),DENSITY?
O2RNE8IBXP4R0TD8PU41,Societe Generale,sme_corporate,2022-12-31,3.80,17.07,61970,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),
O2RNE8IBXP4R0TD8PU41,Societe Generale,mortgage,2023-12-31,1.22,16.27,118757,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),
O2RNE8IBXP4R0TD8PU41,Societe Generale,other_retail,2023-12-31,7.32,31.41,30441,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),
O2RNE8IBXP4R0TD8PU41,Societe Generale,qrre,2023-12-31,8.01,48.47,4198,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),
O2RNE8IBXP4R0TD8PU41,Societe Generale,sme_corporate,2023-12-31,3.50,18.66,63059,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),
O2RNE8IBXP4R0TD8PU41,Societe Generale,sovereign,2023-12-31,0.10,1.41,313574,SocGen Pillar 3 EU CR6 AIRB (raw subtotal),
O2RNE8IBXP4R0TD8PU41,Societe Generale,bank,2024-12-31,0.36,22.68,40633,SocGen Pillar 3 2024 EU CR6 AIRB (raw),
O2RNE8IBXP4R0TD8PU41,Societe Generale,mortgage,2024-12-31,1.18,16.37,116982,SocGen Pillar 3 2024 EU CR6 AIRB (raw),
O2RNE8IBXP4R0TD8PU41,Societe Generale,other_retail,2024-12-31,8.06,31.89,28572,SocGen Pillar 3 2024 EU CR6 AIRB (raw),
O2RNE8IBXP4R0TD8PU41,Societe Generale,qrre,2024-12-31,7.89,48.48,4149,SocGen Pillar 3 2024 EU CR6 AIRB (raw),
O2RNE8IBXP4R0TD8PU41,Societe Generale,sme_corporate,2024-12-31,3.57,19.06,67967,SocGen Pillar 3 2024 EU CR6 AIRB (raw),
O2RNE8IBXP4R0TD8PU41,Societe Generale,sovereign,2024-12-31,0.09,1.54,310916,SocGen Pillar 3 2024 EU CR6 AIRB (raw),
549300TRUWO2CD2G5692,UniCredit,bank,2021-12-31,0.29,32.02,25460,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,corporate,2021-12-31,3.11,37.18,176368,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,qrre,2021-12-31,5.27,74.06,5464,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,sme_corporate,2021-12-31,9.53,26.04,43870,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,bank,2022-12-31,0.18,22.06,25824,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,corporate,2022-12-31,2.73,35.60,173722,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,other_retail,2022-12-31,4.88,40.24,25503,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,qrre,2022-12-31,5.39,71.16,4879,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,sme_corporate,2022-12-31,6.67,22.97,47669,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,sovereign,2022-12-31,0.16,20.80,23651,UniCredit Pillar III EU CR6 AIRB (raw subtotal),Central-gov row (header-bleed relabel); verified low-PD
549300TRUWO2CD2G5692,UniCredit,bank,2023-12-31,0.21,22.43,25296,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,corporate,2023-12-31,2.76,31.96,164240,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,other_retail,2023-12-31,5.35,40.37,26136,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,qrre,2023-12-31,5.43,69.69,4802,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,sme_corporate,2023-12-31,6.46,22.71,45132,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,sovereign,2023-12-31,0.23,21.76,23375,UniCredit Pillar III EU CR6 AIRB (raw subtotal),Central-gov row (header-bleed relabel); verified low-PD
549300TRUWO2CD2G5692,UniCredit,bank,2024-12-31,0.11,25.90,29026,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,corporate,2024-12-31,3.25,31.89,155329,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,other_retail,2024-12-31,4.90,39.02,24768,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,qrre,2024-12-31,3.67,70.86,4720,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,sme_corporate,2024-12-31,6.82,23.14,44308,UniCredit Pillar III EU CR6 AIRB (raw subtotal),
549300TRUWO2CD2G5692,UniCredit,sovereign,2024-12-31,0.22,20.75,22619,UniCredit Pillar III EU CR6 AIRB (raw subtotal),Central-gov row (header-bleed relabel); verified low-PD
