bank_name,LEI,bank_country,vasicek_class,pd_pct,lgd_pct,vintage_date,status,source,source_period,source_table,source_page,source_url
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,corporate,4.12,30.86,2024-12-31,pillar3_verified,Deutsche Bank Pillar 3 Report Q4 2024,2024-12-31,EU CR6 - AIRB approach - Corporates non-SME Sub-total,110,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2024.pdf
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,sme_corporate,6.77,33.03,2024-12-31,pillar3_verified,Deutsche Bank Pillar 3 Report Q4 2024,2024-12-31,EU CR6 - AIRB approach - Corporates SMEs Sub-total,109,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2024.pdf
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,mortgage,2.63,20.03,2024-12-31,pillar3_verified,Deutsche Bank Pillar 3 Report Q4 2024,2024-12-31,EU CR6 - AIRB - Retail secured by real estate non-SME Sub-total,112,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2024.pdf
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,qrre,2.66,57.60,2024-12-31,pillar3_verified,Deutsche Bank Pillar 3 Report Q4 2024,2024-12-31,EU CR6 - AIRB - Retail Qualifying Revolving Sub-total,112,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2024.pdf
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,other_retail,9.50,58.41,2024-12-31,pillar3_verified,Deutsche Bank Pillar 3 Report Q4 2024,2024-12-31,EU CR6 - AIRB - Other Retail non-SME Sub-total,113,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2024.pdf
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,bank,0.19,48.15,2024-12-31,pillar3_verified,Deutsche Bank Pillar 3 Report Q4 2024,2024-12-31,EU CR6 - AIRB - Institutions Sub-total,108,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2024.pdf
Deutsche Bank,7LTWFZYICNSX8D621K86,DE,sovereign,0.31,66.37,2024-12-31,pillar3_verified,Deutsche Bank Pillar 3 Report Q4 2024,2024-12-31,EU CR6 - AIRB - Central governments Sub-total,108,https://investor-relations.db.com/files/documents/regulatory-reporting/Pillar-3-Report-Q4-2024.pdf
ING Groep,549300NYKK9MWM7GGW15,NL,corporate,1.81,14.43,2024-12-31,pillar3_verified,ING Group Additional Pillar III Report 2024,2024-12-31,EU CR6 - IRB - Corporates-Other Subtotal,48,https://ing.com/binaries/content/assets/documents/annual-reports/2024-ing-groep-nv-additional-pillar-iii-report.pdf
ING Groep,549300NYKK9MWM7GGW15,NL,sme_corporate,6.12,27.39,2024-12-31,pillar3_verified,ING Group Additional Pillar III Report 2024,2024-12-31,EU CR6 - IRB - Corporates-SME Subtotal,47,https://ing.com/binaries/content/assets/documents/annual-reports/2024-ing-groep-nv-additional-pillar-iii-report.pdf
ING Groep,549300NYKK9MWM7GGW15,NL,mortgage,1.46,22.61,2024-12-31,pillar3_verified,ING Group Additional Pillar III Report 2024,2024-12-31,EU CR6 - IRB - Retail Secured by immovable property Subtotal,50,https://ing.com/binaries/content/assets/documents/annual-reports/2024-ing-groep-nv-additional-pillar-iii-report.pdf
ING Groep,549300NYKK9MWM7GGW15,NL,qrre,3.75,22.50,2024-12-31,pillar3_verified,ING Group Additional Pillar III Report 2024,2024-12-31,EU CR6 - IRB - Retail SRE SME Subtotal (proxy for QRRE),49,https://ing.com/binaries/content/assets/documents/annual-reports/2024-ing-groep-nv-additional-pillar-iii-report.pdf
ING Groep,549300NYKK9MWM7GGW15,NL,other_retail,6.39,39.90,2024-12-31,pillar3_verified,ING Group Additional Pillar III Report 2024,2024-12-31,EU CR6 - IRB - Other Retail Subtotal,51,https://ing.com/binaries/content/assets/documents/annual-reports/2024-ing-groep-nv-additional-pillar-iii-report.pdf
ING Groep,549300NYKK9MWM7GGW15,NL,bank,0.39,19.79,2024-12-31,pillar3_verified,ING Group Additional Pillar III Report 2024,2024-12-31,EU CR6 - IRB - Institutions Subtotal,45,https://ing.com/binaries/content/assets/documents/annual-reports/2024-ing-groep-nv-additional-pillar-iii-report.pdf
ING Groep,549300NYKK9MWM7GGW15,NL,sovereign,0.10,15.00,2024-12-31,pillar3_verified,ING Group Additional Pillar III Report 2024,2024-12-31,EU CR6 - IRB - Central Governments Subtotal,44,https://ing.com/binaries/content/assets/documents/annual-reports/2024-ing-groep-nv-additional-pillar-iii-report.pdf
