bank_name,country,country_name,LEI_Code,total_ead,n_classes
Groupe Crédit Agricole,FR,France,FR969500TJ5KRTCJQWXH,1645779998796.4902,4
BNP Paribas,FR,France,R0MUWSFPU8MPRO8K5P83,1301520647733.0,4
ING Groep N.V.,NL,Netherlands,549300NYKK9MWM7GGW15,927992514690.71,4
Société générale S.A.,FR,France,O2RNE8IBXP4R0TD8PU41,791396588815.0,4
Groupe BPCE,FR,France,FR9695005MSX1OYEMGDF,777284371234.0,4
DEUTSCHE BANK AKTIENGESELLSCHAFT,DE,Germany,7LTWFZYICNSX8D621K86,738616151850.8391,4
Confédération Nationale du Crédit Mutuel,FR,France,9695000CG7B84NLR5984,627413012863.5299,4
"Banco Santander, S.A.",ES,Spain,5493006QMFDDMYWIAM13,594647737728.0,4
Coöperatieve Rabobank U.A.2,NL,Netherlands,DG3RU1DBUFHT4ZF9WN62,469320423374.10004,4
"UNICREDIT, SOCIETA' PER AZIONI",IT,Italy,549300TRUWO2CD2G5692,408486029184.0,4
